Event ID,Crossed MODULE ID,Detector Type
195894,48,cylinder
195895,64,cylinder
195896,49,cylinder
195897,40,cylinder
195898,26,cylinder
195899,18,cylinder
195899,414,planar_left
195899,545,planar_left
195900,40,cylinder
195901,65,cylinder
195902,43,cylinder
195903,75,cylinder
195904,56,cylinder
195904,98,planar_right
195905,48,cylinder
195906,74,cylinder
195907,74,cylinder
195907,191,planar_right
195908,40,cylinder
195909,16,cylinder
195909,590,planar_left
195910,41,cylinder
195911,25,cylinder
195912,576,planar_left
195912,34,cylinder
195913,41,cylinder
195914,43,cylinder
195915,16,cylinder
195915,602,planar_left
195916,65,cylinder
195917,64,cylinder
195918,25,cylinder
195919,74,cylinder
195920,42,cylinder
195921,32,cylinder
195922,24,cylinder
195923,72,cylinder
195923,345,planar_right
195924,66,cylinder
195925,50,cylinder
195926,65,cylinder
195927,43,cylinder
195928,64,cylinder
195929,25,cylinder
195930,42,cylinder
195931,64,cylinder
195932,72,cylinder
195932,333,planar_right
195933,25,cylinder
195934,57,cylinder
195934,144,planar_right
195935,64,cylinder
195936,57,cylinder
195937,48,cylinder
195938,26,cylinder
195939,16,cylinder
195940,32,cylinder
195941,34,cylinder
195942,34,cylinder
195943,18,cylinder
195943,398,planar_left
195944,73,cylinder
195944,335,planar_right
195945,35,cylinder
195946,67,cylinder
195947,595,planar_left
195947,35,cylinder
195948,24,cylinder
195949,75,cylinder
195949,110,planar_right
195950,42,cylinder
195951,26,cylinder
195952,75,cylinder
195952,109,planar_right
195952,563,planar_left
195953,25,cylinder
195955,19,cylinder
195955,362,planar_left
195956,32,cylinder
195957,64,cylinder
195958,43,cylinder
195959,57,cylinder
195960,75,cylinder
195961,33,cylinder
195962,64,cylinder
195963,24,cylinder
195964,74,cylinder
195964,158,planar_right
195965,16,cylinder
195965,59,cylinder
195966,26,cylinder
195967,24,cylinder
195968,73,cylinder
195968,317,planar_right
195969,58,cylinder
195970,34,cylinder
195970,305,planar_right
195971,72,cylinder
195972,33,cylinder
195973,595,planar_left
195973,35,cylinder
195974,41,cylinder
195975,51,cylinder
195976,73,cylinder
195976,302,planar_right
195977,35,cylinder
195978,17,cylinder
195978,574,planar_left
195979,74,cylinder
195980,74,cylinder
195981,43,cylinder
195982,42,cylinder
195982,288,planar_right
195983,24,cylinder
195984,41,cylinder
195985,48,cylinder
195986,42,cylinder
195987,27,cylinder
195988,51,cylinder
195989,17,cylinder
195989,542,planar_left
195990,26,cylinder
195991,16,cylinder
195991,588,planar_left
195992,25,cylinder
195993,26,cylinder
195994,17,cylinder
